SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-716855000.0
06682.HK,06682,第四范式,10000071947,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004099999,非运算项目,-1696168000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001001,营业额,127750000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004001999,营运收入,127750000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004005002,销售成本,73163000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004007999,毛利,54587000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010001,其他收入,7780000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010002,其他收益,8456000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010003,销售及分销费用,96581000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010004,行政开支,115854000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010005,减值及拨备,1256000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010010,研发费用,193159000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004010999,经营溢利,-336027000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011200,利息收入,1487000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011201,融资成本,37865000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011997,溢利其他项目,143000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004011999,除税前溢利,-372262000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004012001,税项,101000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004012999,除税后溢利,-372363000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004025001,少数股东损益,-4403000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004025002,股东应占溢利,-367960000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004027002,每股基本盈利,-1.96
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004027003,每股摊薄盈利,-1.96
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004030997,其他全面收益其他项目,7000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004030999,其他全面收益,7000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004039999,全面收益总额,-372356000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-4403000.0
06682.HK,06682,第四范式,10000071947,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-367953000.0
